Player,No.,Pos,Height,Weight,Birthdate,Age,Exp,School
Jacob Evans,#10,G,6-6,210,"JUN 18, 1997",22,R,Cincinnati
Kevon Looney,#5,C-F,6-9,220,"FEB 06, 1996",23,3,California-Los Angeles
Marcus Derrickson,#32,F,6-7,249,"FEB 01, 1996",23,R,
Damian Jones,#15,C,7-0,245,"JUN 30, 1995",23,2,Vanderbilt
Jordan Bell,#2,F,6-9,224,"JAN 07, 1995",24,1,Oregon
Quinn Cook,#4,G,6-2,179,"MAR 23, 1993",26,2,Duke
Damion Lee,#1,G,6-6,210,"OCT 21, 1992",26,1,Louisville
Alfonzo McKinnie,#28,F,6-8,215,"SEP 17, 1992",26,1,Wisc.-Green Bay
DeMarcus Cousins,#0,C,6-11,270,"AUG 13, 1990",28,8,Kentucky
Draymond Green,#23,F,6-7,230,"MAR 04, 1990",29,6,Michigan State
Klay Thompson,#11,G,6-7,215,"FEB 08, 1990",29,7,Washington State
Kevin Durant,#35,F,6-9,240,"SEP 29, 1988",30,11,Texas
Stephen Curry,#30,G,6-3,190,"MAR 14, 1988",31,9,Davidson
Jonas Jerebko,#21,F,6-10,231,"MAR 02, 1987",32,8,
Shaun Livingston,#34,G,6-7,192,"SEP 11, 1985",33,13,Peoria
Andrew Bogut,#12,C,7-0,260,"NOV 28, 1984",34,13,Utah
Andre Iguodala,#9,F-G,6-6,215,"JAN 28, 1984",35,14,Arizona