State,Latitude,Longitude,Population
Alabama,32.806671,-86.79113,4887871
Alaska,61.370716,-152.404419,737438
Arizona,33.729759,-111.431221,7171646
Arkansas,34.969704,-92.373123,3013825
California,36.116203,-119.681564,39557045
Colorado,39.059811,-105.311104,5695564
Connecticut,41.597782,-72.755371,3572665
Delaware,39.318523,-75.507141,967171
District of Columbia,38.897438,-77.026817,702455
Florida,27.766279,-81.686783,21299325
Georgia,33.040619,-83.643074,10519475
Hawaii,21.094318,-157.498337,1420491
Idaho,44.240459,-114.478828,1754208
Illinois,40.349457,-88.986137,12741080
Indiana,39.849426,-86.258278,6691878
Iowa,42.011539,-93.210526,3156145
Kansas,38.5266,-96.726486,2911505
Kentucky,37.66814,-84.670067,4468402
Louisiana,31.169546,-91.867805,4659978
Maine,44.693947,-69.381927,1338404
Maryland,39.063946,-76.802101,6042718
Massachusetts,42.230171,-71.530106,6902149
Michigan,43.326618,-84.536095,9995915
Minnesota,45.694454,-93.900192,5611179
Mississippi,32.741646,-89.678696,2986530
Missouri,38.456085,-92.288368,6126452
Montana,46.921925,-110.454353,1062305
Nebraska,41.12537,-98.268082,1929268
Nevada,38.313515,-117.055374,3034392
New Hampshire,43.452492,-71.563896,1356458
New Jersey,40.298904,-74.521011,8908520
New Mexico,34.840515,-106.248482,2095428
New York,42.165726,-74.948051,19542209
North Carolina,35.630066,-79.806419,10383620
North Dakota,47.528912,-99.784012,760077
Ohio,40.388783,-82.764915,11689442
Oklahoma,35.565342,-96.928917,3943079
Oregon,44.572021,-122.070938,4190713
Pennsylvania,40.590752,-77.209755,12807060
Rhode Island,41.680893,-71.51178,1057315
South Carolina,33.856892,-80.945007,5084127
South Dakota,44.299782,-99.438828,882235
Tennessee,35.747845,-86.692345,6770010
Texas,31.054487,-97.563461,28701845
Utah,40.150032,-111.862434,3161105
Vermont,44.045876,-72.710686,626299
Virginia,37.769337,-78.169968,8517685
Washington,47.400902,-121.490494,7535591
West Virginia,38.491226,-80.954453,1805832
Wisconsin,44.268543,-89.616508,5813568
Wyoming,42.755966,-107.30249,577737